seller_id,date,price,original_price,is_on_sale,daily_views,daily_purchases,cart_adds,cart_completions,repeat_purchases,returns,stock_available,unanswered_questions
competitor,2024-11-14,1715.67,1999.0,False,572,31,77,24,6,1,True,2
competitor,2024-11-15,1707.33,1999.0,False,558,27,73,25,6,0,True,2
competitor,2024-11-16,1699.0,1999.0,False,548,29,76,26,6,2,True,3
competitor,2024-11-17,1690.67,1999.0,False,531,25,67,25,5,2,True,3
competitor,2024-11-18,1682.33,1999.0,False,533,28,74,24,5,1,True,4
competitor,2024-11-19,1674.0,1999.0,False,516,25,74,23,6,1,True,2
competitor,2024-11-20,1665.67,1999.0,False,538,25,83,23,6,1,True,3
competitor,2024-11-21,1657.33,1999.0,False,526,22,80,23,4,1,True,3
competitor,2024-11-22,1649.0,1999.0,False,525,25,75,18,5,1,True,5
competitor,2024-11-23,1640.67,1999.0,True,516,25,88,22,4,1,True,6
competitor,2024-11-24,1632.33,1999.0,True,472,23,72,18,5,2,True,7
competitor,2024-11-25,1624.0,1999.0,True,464,20,73,19,5,5,True,4
competitor,2024-11-26,1615.67,1999.0,True,470,22,83,18,3,5,True,8
competitor,2024-11-27,1607.33,1999.0,True,497,18,86,17,3,3,True,5
competitor,2024-11-28,1599.0,1999.0,True,430,18,90,16,4,6,True,3
competitor,2024-11-29,1590.67,1999.0,True,442,21,78,17,4,3,True,9
competitor,2024-11-30,1582.33,1999.0,True,459,16,76,18,3,6,True,5
competitor,2024-12-01,1574.0,1999.0,True,453,16,90,13,3,5,True,4
competitor,2024-12-02,1565.67,1999.0,True,416,17,73,13,2,3,True,4
competitor,2024-12-03,1557.33,1999.0,True,406,14,82,12,3,7,True,5
competitor,2024-12-04,1549.0,1999.0,True,399,18,68,14,2,4,True,6
competitor,2024-12-05,1540.67,1999.0,True,423,15,86,11,3,7,True,9
competitor,2024-12-06,1532.33,1999.0,True,419,15,67,11,2,8,True,7
competitor,2024-12-07,1524.0,1999.0,True,377,16,83,11,2,9,True,6
competitor,2024-12-08,1515.67,1999.0,True,384,11,70,13,1,3,True,8
competitor,2024-12-09,1507.33,1999.0,True,360,14,79,12,1,7,True,11
competitor,2024-12-10,1392.72,1999.0,True,202,3,40,6,1,10,True,17
competitor,2024-12-11,1379.62,1999.0,True,180,6,26,4,1,10,True,13
competitor,2024-12-12,1424.99,1999.0,True,272,2,29,6,0,7,True,15
competitor,2024-12-13,1385.29,1999.0,True,253,4,43,3,0,9,True,16
competitor,2024-12-14,1372.73,1999.0,True,206,2,43,2,0,11,True,10
competitor,2024-12-15,1372.53,1999.0,True,237,4,47,4,0,14,True,13
competitor,2024-12-16,1386.75,1999.0,True,211,7,43,4,0,7,True,15
competitor,2024-12-17,1373.05,1999.0,True,180,7,27,2,0,12,True,12
competitor,2024-12-18,1431.1,1999.0,True,252,2,44,7,0,11,True,17
competitor,2024-12-19,1378.07,1999.0,True,232,3,33,5,0,13,True,14
competitor,2024-12-20,1418.36,1999.0,True,278,4,36,5,0,13,True,20
competitor,2024-12-21,1404.91,1999.0,True,227,3,43,7,1,10,True,17
competitor,2024-12-22,1407.25,1999.0,True,218,4,36,3,1,8,False,14
competitor,2024-12-23,1444.99,1999.0,True,234,7,43,3,1,7,False,16
competitor,2024-12-24,1441.28,1999.0,True,239,6,39,3,0,6,True,18
competitor,2024-12-25,1405.53,1999.0,True,287,6,31,2,0,6,True,15
competitor,2024-12-26,1430.47,1999.0,True,219,3,46,4,1,12,False,11
competitor,2024-12-27,1412.15,1999.0,True,293,3,42,3,0,8,True,18
competitor,2024-12-28,1374.27,1999.0,True,207,7,36,3,1,8,False,10
competitor,2024-12-29,1427.77,1999.0,True,188,3,41,4,1,12,False,20
my_product,2024-10-01,1799.0,1999.0,False,585,27,85,25,4,2,True,0
my_product,2024-10-02,1799.0,1999.0,False,556,21,90,22,7,0,True,3
my_product,2024-10-03,1799.0,1999.0,False,634,20,70,21,6,0,True,1
my_product,2024-10-04,1799.0,1999.0,False,635,21,70,26,6,0,True,1
my_product,2024-10-05,1799.0,1999.0,False,649,24,75,26,4,1,True,1
my_product,2024-10-06,1799.0,1999.0,False,646,26,82,21,4,1,True,2
my_product,2024-10-07,1799.0,1999.0,False,582,22,78,21,4,2,True,0
my_product,2024-10-08,1799.0,1999.0,False,582,27,82,22,6,2,True,3
my_product,2024-10-09,1799.0,1999.0,False,577,28,79,27,6,2,True,2
my_product,2024-10-10,1799.0,1999.0,False,631,22,84,24,5,0,True,2
my_product,2024-10-11,1799.0,1999.0,False,615,22,86,23,6,2,True,0
my_product,2024-10-12,1799.0,1999.0,False,579,28,83,22,4,1,True,3
my_product,2024-10-13,1799.0,1999.0,False,624,21,70,26,4,1,True,3
my_product,2024-10-14,1799.0,1999.0,False,563,21,70,23,4,0,True,2
my_product,2024-10-15,1799.0,1999.0,False,574,21,74,24,6,0,True,1
my_product,2024-10-16,1799.0,1999.0,False,561,21,80,20,5,1,True,3
my_product,2024-10-17,1799.0,1999.0,False,592,28,71,27,6,1,True,2
my_product,2024-10-18,1799.0,1999.0,False,577,25,74,20,6,2,True,1
my_product,2024-10-19,1799.0,1999.0,False,576,28,89,26,7,0,True,2
my_product,2024-10-20,1799.0,1999.0,False,621,22,86,28,6,0,True,0
my_product,2024-10-21,1799.0,1999.0,False,627,25,74,22,7,0,True,0
my_product,2024-10-22,1799.0,1999.0,False,618,25,87,24,6,0,True,2
my_product,2024-10-23,1799.0,1999.0,False,638,21,87,24,4,2,True,2
my_product,2024-10-24,1799.0,1999.0,False,604,23,90,22,4,0,True,0
my_product,2024-10-25,1799.0,1999.0,False,610,26,83,28,7,1,True,3
my_product,2024-10-26,1799.0,1999.0,False,583,21,76,25,5,0,True,2
my_product,2024-10-27,1799.0,1999.0,False,637,21,70,25,7,1,True,1
my_product,2024-10-28,1799.0,1999.0,False,625,21,89,24,6,1,True,1
my_product,2024-10-29,1799.0,1999.0,False,567,22,79,20,6,0,True,1
my_product,2024-10-30,1799.0,1999.0,False,602,28,87,22,6,1,True,3
my_product,2024-10-31,1799.0,1999.0,False,509,9,101,11,1,6,True,8
my_product,2024-11-01,1799.0,1999.0,False,521,14,77,12,2,4,True,5
my_product,2024-11-02,1799.0,1999.0,False,476,12,100,15,1,5,True,7
my_product,2024-11-03,1799.0,1999.0,False,505,15,98,13,1,3,True,5
my_product,2024-11-04,1799.0,1999.0,False,487,14,98,9,2,4,True,12
my_product,2024-11-05,1799.0,1999.0,False,523,14,97,9,1,3,True,8
my_product,2024-11-06,1799.0,1999.0,False,479,14,88,10,1,7,True,12
my_product,2024-11-07,1799.0,1999.0,False,496,15,94,9,3,3,True,9
my_product,2024-11-08,1799.0,1999.0,False,467,14,76,14,1,7,True,11
my_product,2024-11-09,1799.0,1999.0,False,507,15,90,15,1,5,True,10
my_product,2024-11-10,1799.0,1999.0,False,479,14,104,9,2,7,True,10
my_product,2024-11-11,1799.0,1999.0,False,528,15,81,14,2,5,True,7
my_product,2024-11-12,1799.0,1999.0,False,525,11,90,15,1,6,True,11
my_product,2024-11-13,1799.0,1999.0,False,493,13,84,12,1,7,True,7
my_product,2024-11-14,1799.0,1999.0,False,463,14,83,10,1,3,True,7
my_product,2024-11-15,1799.0,1999.0,False,527,15,82,11,2,5,True,11
my_product,2024-11-16,1799.0,1999.0,False,505,12,80,11,2,4,True,5
my_product,2024-11-17,1799.0,1999.0,False,479,13,89,12,2,6,True,10
my_product,2024-11-18,1799.0,1999.0,False,482,11,93,10,3,7,True,5
my_product,2024-11-19,1799.0,1999.0,False,524,12,92,14,3,4,True,12
my_product,2024-11-20,1799.0,1999.0,False,487,13,78,15,3,6,True,10
my_product,2024-11-21,1799.0,1999.0,False,514,13,85,11,1,3,True,6
my_product,2024-11-22,1799.0,1999.0,False,488,14,99,10,2,4,True,8
my_product,2024-11-23,1799.0,1999.0,False,512,10,85,9,1,3,True,5
my_product,2024-11-24,1799.0,1999.0,False,471,14,90,12,1,5,True,12
my_product,2024-11-25,1799.0,1999.0,False,503,13,75,10,3,7,True,11
my_product,2024-11-26,1799.0,1999.0,False,515,11,83,14,1,7,True,7
my_product,2024-11-27,1799.0,1999.0,False,521,13,86,14,1,6,True,12
my_product,2024-11-28,1799.0,1999.0,False,519,10,89,14,3,6,True,9
my_product,2024-11-29,1799.0,1999.0,False,528,12,94,12,1,6,True,5
my_product,2024-11-30,1799.0,1999.0,False,666,31,78,25,8,1,True,0
my_product,2024-12-01,1799.0,1999.0,False,628,30,82,24,7,0,True,0
my_product,2024-12-02,1799.0,1999.0,False,650,30,89,24,6,0,True,2
my_product,2024-12-03,1799.0,1999.0,False,675,27,76,27,8,0,True,1
my_product,2024-12-04,1799.0,1999.0,False,670,24,73,27,6,0,True,0
my_product,2024-12-05,1799.0,1999.0,False,657,27,78,32,6,0,True,1
my_product,2024-12-06,1799.0,1999.0,False,613,31,83,29,8,1,True,0
my_product,2024-12-07,1799.0,1999.0,False,617,24,92,31,6,0,True,2
my_product,2024-12-08,1799.0,1999.0,False,585,27,84,28,8,1,True,0
my_product,2024-12-09,1799.0,1999.0,False,670,34,87,29,8,1,True,2
my_product,2024-12-10,1799.0,1999.0,False,643,24,87,24,8,0,True,1
my_product,2024-12-11,1799.0,1999.0,False,593,24,85,29,6,0,True,1
my_product,2024-12-12,1799.0,1999.0,False,625,29,90,29,8,1,True,2
my_product,2024-12-13,1799.0,1999.0,False,613,30,77,33,7,1,True,2
my_product,2024-12-14,1799.0,1999.0,False,590,25,87,25,6,0,True,0
my_product,2024-12-15,1799.0,1999.0,False,624,30,82,27,7,0,True,0
my_product,2024-12-16,1799.0,1999.0,False,650,28,89,30,7,0,True,1
my_product,2024-12-17,1799.0,1999.0,False,620,27,84,28,9,0,True,0
my_product,2024-12-18,1799.0,1999.0,False,670,33,72,34,6,0,True,0
my_product,2024-12-19,1799.0,1999.0,False,619,29,87,26,6,0,True,1
my_product,2024-12-20,1799.0,1999.0,False,663,29,90,28,7,1,True,0
my_product,2024-12-21,1799.0,1999.0,False,587,27,80,30,6,0,True,2
my_product,2024-12-22,1799.0,1999.0,False,602,24,92,33,7,1,True,1
my_product,2024-12-23,1799.0,1999.0,False,629,29,76,33,7,0,True,1
my_product,2024-12-24,1799.0,1999.0,False,645,31,80,30,7,1,True,0
my_product,2024-12-25,1799.0,1999.0,False,676,28,88,24,7,1,True,1
my_product,2024-12-26,1799.0,1999.0,False,680,27,75,32,6,0,True,0
my_product,2024-12-27,1799.0,1999.0,False,605,28,85,24,6,0,True,0
my_product,2024-12-28,1799.0,1999.0,False,582,27,74,25,6,0,True,0
my_product,2024-12-29,1799.0,1999.0,False,582,28,83,29,7,1,True,1
